TAIRID	Tissue_specificity
AT1G01760	cellularized.peripheral.endosperm
AT1G02580	cellularized.peripheral.endosperm
AT1G03445	cellularized.peripheral.endosperm
AT1G03540	cellularized.peripheral.endosperm
AT1G03880	cellularized.peripheral.endosperm
AT1G35183	cellularized.peripheral.endosperm
AT1G36920	cellularized.peripheral.endosperm
AT1G42250	cellularized.peripheral.endosperm
AT1G42365	cellularized.peripheral.endosperm
AT1G44990	cellularized.peripheral.endosperm
AT1G47540	cellularized.peripheral.endosperm
AT1G48130	cellularized.peripheral.endosperm
AT1G48910	cellularized.peripheral.endosperm
AT1G79170	cellularized.peripheral.endosperm
AT1G79960	cellularized.peripheral.endosperm
AT1G80330	cellularized.peripheral.endosperm
AT1G80580	cellularized.peripheral.endosperm
AT2G02660	cellularized.peripheral.endosperm
AT2G28490	cellularized.peripheral.endosperm
AT2G28700	cellularized.peripheral.endosperm
AT2G30810	cellularized.peripheral.endosperm
AT2G33160	cellularized.peripheral.endosperm
AT3G01570	cellularized.peripheral.endosperm
AT3G01580	cellularized.peripheral.endosperm
AT3G02330	cellularized.peripheral.endosperm
AT3G03230	cellularized.peripheral.endosperm
AT3G03240	cellularized.peripheral.endosperm
AT3G03410	cellularized.peripheral.endosperm
AT3G21430	cellularized.peripheral.endosperm
AT3G22770	cellularized.peripheral.endosperm
AT3G23060	cellularized.peripheral.endosperm
AT3G24220	cellularized.peripheral.endosperm
AT3G24790	cellularized.peripheral.endosperm
AT3G26010	cellularized.peripheral.endosperm
AT3G26790	cellularized.peripheral.endosperm
AT3G27660	cellularized.peripheral.endosperm
AT3G28155	cellularized.peripheral.endosperm
AT3G28490	cellularized.peripheral.endosperm
AT3G28610	cellularized.peripheral.endosperm
AT3G29140	cellularized.peripheral.endosperm
AT3G29190	cellularized.peripheral.endosperm
AT3G30440	cellularized.peripheral.endosperm
AT3G32270	cellularized.peripheral.endosperm
AT3G42830	cellularized.peripheral.endosperm
AT3G42860	cellularized.peripheral.endosperm
