TAIRID	A.thalianaGermany	A.thalianaEastSpain	A.thalianaWestSpain	A.thalianaRussia	A.thalianaCzech	TISSUE
AT3G28490	0.25490	0.33824	0.17143	0.38824	0.38824	cellularized.peripheral.endosperm
AT5G62400	0.04762	0.38095	0.38095	0.22093	0.21429	cellularized.peripheral.endosperm
AT3G43990	0.16722	0.22705	0.30220	0.26316	0.18237	cellularized.peripheral.endosperm
AT2G02660	0.06237	0.28472	0.21739	0.15825	0.21429	cellularized.peripheral.endosperm
AT1G02580	0.18148	0.13876	0.25053	0.18148	0.18148	cellularized.peripheral.endosperm
AT2G33160	0.20151	0.20151	0.20151	-0.08065	0.22373	cellularized.peripheral.endosperm
AT1G48910	0.27381	0.07650	0.07650	0.00984	0.28484	cellularized.peripheral.endosperm
AT3G27660	0.13818	0.11448	0.13818	0.09921	0.12143	cellularized.peripheral.endosperm
AT5G07880	0.21642	0.21642	0.21642	-0.03358	-0.03358	cellularized.peripheral.endosperm
AT3G23060	0.32026	-0.01900	0.12351	-0.00469	0.15359	cellularized.peripheral.endosperm
AT1G03445	0.21290	0.18433	0.11290	0.10784	-0.05882	cellularized.peripheral.endosperm
AT3G03230	0.04167	0.16667	0.05437	0.16667	0.09787	cellularized.peripheral.endosperm
AT3G21430	0.16310	0.04531	0.19882	-0.00923	0.11549	cellularized.peripheral.endosperm
AT3G49770	0.06785	0.23684	0.06785	0.06785	0.06785	cellularized.peripheral.endosperm
AT4G00310	-0.05455	0.06061	0.30224	-0.05588	0.15224	cellularized.peripheral.endosperm
AT1G80330	0.02899	0.12143	0.03810	0.11620	0.08571	cellularized.peripheral.endosperm
AT4G03050	-0.08614	-0.04719	0.14860	0.24860	0.08052	cellularized.peripheral.endosperm
AT1G01760	0.00329	0.02137	0.07692	0.03896	0.18228	cellularized.peripheral.endosperm
AT3G60790	-0.00926	-0.05926	0.24534	-0.00926	0.13913	cellularized.peripheral.endosperm
AT5G62110	0.00564	-0.02587	0.08524	0.18797	0.00849	cellularized.peripheral.endosperm
AT3G49450	0.03637	0.06202	0.01299	0.03906	0.03998	cellularized.peripheral.endosperm
AT5G65070	0.26126	0.07895	-0.33333	0.07895	0.07895	cellularized.peripheral.endosperm
AT5G60220	0.03030	-0.06970	0.03030	0.15942	-0.00725	cellularized.peripheral.endosperm
AT3G50720	0.10952	-0.14048	0.23394	-0.05714	-0.05714	cellularized.peripheral.endosperm
AT3G02330	0.03590	0.12500	0.01210	-0.29744	0.18095	cellularized.peripheral.endosperm
AT1G47540	0.10000	-0.10000	0.00000	0.03846	0.00000	cellularized.peripheral.endosperm
AT1G80580	0.05704	0.03833	0.01885	-0.00427	-0.10909	cellularized.peripheral.endosperm
