gene	lnL	t	S	N	dN/dS	dN	dS	NG.dNdS	NG.dN	NG.dS
AT1G01020	-1095.141182	0.0992	223.2	511.8	0.4445	0.024	0.0539	0.3165	0.0215	0.068
AT1G01030	-1552.661555	0.0598	252.5	809.5	0.1526	0.0086	0.0563	0.1516	0.0086	0.0564
AT1G01040	-8000.446193	0.0421	1348.4	4357.6	0.093	0.0043	0.0457	0.096	0.0043	0.0448
AT1G01050	-927.430894	0.0763	136.9	499.1	0.1245	0.0101	0.0813	0.1447	0.0103	0.0712
AT1G01060	-2789.567364	0.0803	504.9	1412.1	0.5894	0.0226	0.0383	0.5133	0.0214	0.0416
AT1G01070	-1523.556963	0.0383	296.2	786.8	0.1547	0.0051	0.033	0.1363	0.0049	0.0357
AT1G01080	-1344.864337	0.1013	221.8	669.2	0.1933	0.0166	0.0857	0.1999	0.0165	0.0826
AT1G01090	-1867.958013	0.0675	391.9	901.1	0.0945	0.0058	0.061	0.0846	0.0061	0.0721
AT1G01110	-2402.551206	0.1043	463.1	1117.9	0.349	0.0225	0.0644	0.2858	0.0212	0.074
AT1G01120	-2246.421261	0.0365	382.5	1201.5	0.037	0.0017	0.0451	0.0385	0.0017	0.0432
AT1G01150	-1185.61882	0.5864	128.4	480.6	0.551	0.1668	0.3027	0.578	0.1621	0.2805
AT1G01160	-970.159614	0.2484	186.3	404.7	0.5611	0.0664	0.1184	0.386	0.0593	0.1536
AT1G01190	-2430.480559	0.0925	458.7	1158.3	0.1563	0.0122	0.0779	0.1467	0.0123	0.084
AT1G01200	-1055.466053	0.0961	202.6	508.4	0.186	0.0142	0.0766	0.1816	0.0149	0.0819
AT1G01210	-453.022741	0.0393	75.2	242.8	0.2787	0.0081	0.0292	0.2777	0.0081	0.0292
AT1G01220	-4648.250109	0.0756	832.1	2332.9	0.1217	0.0087	0.0715	0.1198	0.0088	0.0733
AT1G01225	-1134.38265	0.096	182.1	576.9	0.1271	0.0121	0.0951	0.1368	0.0122	0.0889
AT1G01230	-645.552282	0.0139	162.8	308.2	0.001	0	0.0134	-1	0	0.019
AT1G01260	-2543.169386	0.0539	372.7	1397.3	0.1628	0.0086	0.053	0.1983	0.0089	0.0449
AT1G01280	-2244.485292	0.1111	402.5	1064.5	0.2166	0.0186	0.0858	0.2064	0.0186	0.0899
AT1G01290	-1221.875097	0.0882	205.3	622.7	0.3334	0.0197	0.0589	0.3172	0.0191	0.0601
AT1G01305	-614.315888	0.0773	104.6	318.4	0.0747	0.0063	0.0849	0.0727	0.0062	0.0854
AT1G01310	-496.374002	0.0255	71.8	288.2	0.1232	0.0035	0.0286	0.1406	0.0036	0.0255
AT1G01320	-7388.68584	0.0377	1378.8	3862.2	0.325	0.0081	0.025	0.2863	0.0078	0.0272
AT1G01340	-2651.720768	0.0774	459.5	1331.5	0.1841	0.0121	0.0656	0.1698	0.0117	0.0688
AT1G01350	-1514.183794	0.1045	223	803	0.143	0.0151	0.1058	0.1534	0.0156	0.1016
AT1G01360	-823.961938	0.062	131	439	0.1547	0.0092	0.0592	0.1695	0.0092	0.0544
AT1G01370	-754.36447	0.0664	135	384	0.1913	0.0105	0.0551	0.1957	0.0105	0.0536
AT1G01380	-343.08089	0.0377	70.8	178.2	0.1894	0.0057	0.0299	0.134	0.0051	0.0383
AT1G01400	-818.268633	0.295	138.7	335.3	0.9725	0.0975	0.1003	0.8414	0.0924	0.1098
AT1G01410	-1483.032194	0.0453	256.3	796.7	0.108	0.005	0.0465	0.1026	0.0049	0.0479
AT1G01430	-1348.874828	0.0693	196	731	0.1308	0.0096	0.0734	0.152	0.0098	0.0646
AT1G01440	-2953.837176	0.113	463.5	1483.5	0.3169	0.0249	0.0785	0.3191	0.0245	0.0767
AT1G01460	-1858.589806	0.0706	325.4	952.6	0.0682	0.0053	0.0771	0.0595	0.0051	0.085
AT1G01470	-653.891213	0.0681	117.8	335.2	1.3463	0.0243	0.0181	1.2532	0.0235	0.0188
AT1G01480	-2199.989688	0.0821	426.6	1061.4	0.1743	0.0116	0.0666	0.1366	0.0109	0.08
AT1G01490	-713.232206	0.0596	125	406	0.001	0.0001	0.0842	-1	0	0.0913
AT1G01510	-2051.13304	0.0589	380.7	1044.3	0.0997	0.0057	0.0577	0.0858	0.0055	0.0639
AT1G01530	-1086.362909	0.085	172.7	568.3	0.3514	0.0198	0.0564	0.3295	0.0192	0.0583
AT1G01550	-1555.005844	0.0747	267.5	779.5	0.2577	0.0143	0.0557	0.2416	0.014	0.0578
AT1G01570	-1867.933632	0.0726	343.1	928.9	0.1312	0.0087	0.0662	0.1084	0.0082	0.0757
AT1G01580	-3189.989442	0.0761	590.2	1581.8	0.0933	0.007	0.0746	0.0818	0.0066	0.0812
AT1G01590	-3199.917182	0.1026	555.8	1556.2	0.3491	0.0229	0.0657	0.3107	0.0219	0.0705
AT1G01630	-1071.347531	0.0247	155.9	612.1	0.2271	0.0049	0.0215	0.2803	0.005	0.0179
AT1G01640	-1343.031149	2.3633	136.4	421.6	0.2513	0.4558	1.814	0.3165	0.4415	1.3948
AT1G01650	-2284.56398	0.029	489.2	1130.8	0.2736	0.0054	0.0196	0.2147	0.0049	0.0229
AT1G01680	-1318.331197	0.0485	185.3	741.7	0.1664	0.0081	0.0486	0.206	0.0083	0.0405
AT1G01720	-1228.116062	0.0489	182.3	678.7	0.107	0.0059	0.055	0.125	0.006	0.0481
AT1G01725	-241.341971	0.0174	60.7	116.3	99	0.0088	0.0001	-1	0.0075	0
AT1G01730	-918.870089	0.0438	179.7	462.3	0.4462	0.0108	0.0243	0.4104	0.0104	0.0254
AT1G01750	-562.307101	0.0072	143.6	276.4	0.001	0	0.007	-1	0	0.0119
AT1G01760	-1889.549453	0.1332	304.8	892.2	0.9099	0.0433	0.0476	0.8929	0.0426	0.0477
AT1G01770	-2599.357395	0.0082	438.7	1463.3	0.1893	0.0014	0.0073	0.2145	0.0014	0.0065
AT1G01780	-644.85993	0.0281	79.4	382.6	0.0621	0.0026	0.0419	0.0955	0.0028	0.0293
AT1G01790	-4794.812516	0.0242	895.7	2566.3	0.3091	0.0051	0.0165	0.305	0.005	0.0164
AT1G01800	-1246.630616	0.042	241.2	643.8	0.4997	0.011	0.022	0.44	0.0105	0.0238
AT1G01810	-605.139984	0.0667	89.7	327.3	0.3142	0.0151	0.0482	0.3534	0.0156	0.0442
AT1G01820	-986.276043	0.0731	157.6	517.4	0.0198	0.0019	0.098	0.0224	0.002	0.0883
AT1G01830	-2460.31494	0.0607	426.9	1280.1	0.0705	0.0047	0.0668	0.0735	0.0047	0.0639
AT1G01840	-579.342835	0.0154	95.2	330.8	0.001	0	0.0229	-1	0	0.0204
AT1G01860	-1467.620745	0.0438	233.9	792.1	0.1068	0.005	0.047	0.1238	0.0052	0.0416
AT1G01900	-1410.805209	0.0614	249.9	719.1	0.2952	0.0127	0.0429	0.2648	0.0122	0.046
